Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
 Afghanistan,,,208,201,218,253,272,330,390,441
 Albania,"1,142","1,299","1,445","1,851","2,399","2,706","3,008","3,638","4,423","4,163"
 Algeria,"1,948","1,919","1,958","2,305","2,840","3,258","3,691","4,208","5,215","4,262"
 Andorra,,,,,,,,,,
 Angola,771,731,988,"1,122","1,438","2,128","2,909","3,493","4,554","3,630"
 Antigua and Barbuda,"11,919","11,417","11,564","12,091","12,959","14,297","16,124","18,197","18,843","16,580"
 Argentina,"8,639","8,085","2,998","3,761","4,314","5,164","5,976","7,316","9,147","8,338"
 Armenia,621,692,779,923,"1,180","1,628","2,128","3,079","3,913","2,912"
 Aruba,"18,403","18,615","18,990","19,484","21,184","22,019","22,734","24,606","26,167","23,394"
 Australia,"20,912","19,504","21,704","27,294","32,861","36,260","37,981","45,208","49,198","45,772"
 Austria,"24,498","24,431","26,316","32,115","36,609","38,190","40,388","46,630","51,575","47,816"
 Azerbaijan,656,675,761,880,"1,040","1,567","2,453","3,814","5,564","4,965"
 Bahamas,"26,601","26,971","28,358","27,896","28,057","30,031","30,595","31,499","30,788","28,793"
 Bahrain,"14,819","14,485","14,075","15,102","16,642","18,730","20,086","21,797","24,223","20,292"
 Bangladesh,483,481,491,532,563,572,610,669,761,841
 Barbados,"12,272","12,215","12,390","12,778","13,745","15,374","17,097","19,096","19,477","18,183"
 Belarus,"1,080","1,287","1,530","1,880","2,459","3,232","3,979","4,897","6,591","5,351"
 Belgium,"23,137","23,067","25,044","30,708","35,498","36,945","38,842","44,497","48,493","45,056"
 Belize,"4,560","4,580","4,739","4,859","5,069","5,201","5,467","5,713","5,668","5,359"
 Benin,503,508,564,698,784,806,837,945,"1,099","1,061"
 Bhutan,788,798,846,983,"1,090","1,245","1,310","1,581","1,973","1,837"
 Bolivia,995,949,905,908,969,"1,037","1,227","1,384","1,729","1,769"
 Bosnia and Herzegovina,"1,484","1,545","1,790","2,260","2,699","2,980","3,414","4,194","5,091","4,715"
 Botswana,"3,290","3,099","3,006","4,088","4,744","5,195","5,143","5,372","5,346","4,938"
 Brazil,"3,752","3,164","2,844","3,078","3,648","4,806","5,906","7,374","8,863","8,641"
 Brunei,"20,473","18,646","19,038","20,976","24,760","29,460","34,869","36,678","42,530","31,287"
 Bulgaria,"1,625","1,797","2,091","2,711","3,370","3,870","4,477","5,815","7,162","6,878"
 Burkina Faso,249,260,287,364,405,443,457,517,622,603
 Burundi,130,127,116,108,122,149,165,170,196,209
 Cape Verde,"1,690","1,875","2,015","2,524","2,839","3,091","3,174","3,565","4,190","3,919"
 Cambodia,313,345,369,407,466,550,640,764,903,913
 Cameroon,660,687,756,949,"1,089","1,102","1,147","1,278","1,439","1,410"
 Canada,"24,297","23,860","24,280","28,340","32,178","36,441","40,559","44,717","46,774","40,989"
 Central African Republic,226,229,245,290,312,329,351,393,446,455
 Chad,244,289,325,429,667,858,929,"1,004","1,197","1,064"
 Chile,"5,100","4,608","4,480","4,825","6,184","7,558","9,410","10,447","10,760","10,177"
 China,963,"1,059","1,157","1,301","1,522","1,779","2,128","2,734","3,504","3,879"
 Colombia,"2,535","2,461","2,424","2,314","2,827","3,494","3,837","4,834","5,622","5,331"
 Comoros,633,681,764,959,"1,071","1,106","1,139","1,290","1,454","1,408"
 Democratic Republic of the Congo,397,147,171,172,189,227,266,311,367,292
 Republic of the Congo,"1,156",934,"1,000","1,128","1,440","1,812","2,117","2,220","2,848","2,281"
 Costa Rica,"3,941","4,042","4,123","4,228","4,484","4,756","5,309","6,194","6,994","6,879"
 Ivory Coast,913,926,997,"1,199","1,260","1,262","1,279","1,422","1,650","1,608"
 Croatia,"5,055","5,364","6,215","8,189","9,714","10,449","11,504","13,760","15,886","14,461"
 Cyprus,"14,465","14,905","16,188","20,389","23,970","25,527","27,448","31,774","36,010","32,650"
 Czech Republic,"6,049","6,659","8,097","9,857","11,785","13,459","15,282","18,514","22,896","19,864"
 Denmark,"30,777","30,823","33,304","40,572","46,685","48,998","52,214","58,786","64,827","58,537"
 Djibouti,"1,088","1,107","1,121","1,160","1,213","1,271","1,359","1,478","1,692","1,722"
 Dominica,"4,681","4,775","4,680","4,826","5,165","5,127","5,497","5,940","6,463","6,904"
 Dominican Republic,"2,894","3,007","3,158","2,461","2,541","4,008","4,189","4,803","5,191","5,147"
 Ecuador,"1,405","1,824","2,097","2,358","2,633","2,961","3,298","3,534","4,258","4,111"
 Egypt,"1,637","1,566","1,355","1,252","1,196","1,331","1,564","1,862","2,271","2,579"
 El Salvador,"1,978","2,051","2,107","2,198","2,274","2,434","2,651","2,815","2,964","2,890"
 Equatorial Guinea,"1,886","2,617","3,106","5,374","8,188","10,816","12,744","15,785","22,832","16,579"
 Eritrea,239,245,227,259,316,301,321,340,301,416
 Estonia,"4,085","4,513","5,360","7,218","8,925","10,429","12,659","16,766","18,274","14,757"
 Eswatini,"1,819","1,599","1,474","2,236","2,797","3,175","3,262","3,402","3,214","3,480"
 Ethiopia,136,132,124,133,152,181,219,267,351,373
 Fiji,"2,275","2,234","2,463","3,073","3,597","3,940","4,051","4,405","4,554","3,682"
 Finland,"24,370","24,999","27,000","32,954","37,812","39,142","41,300","48,587","53,895","47,539"
 France,"22,502","22,487","24,295","29,675","33,876","34,965","36,685","41,763","45,754","41,943"
 Gabon,"4,477","4,066","4,210","5,016","5,838","6,943","7,271","8,652","10,418","7,857"
 Gambia,766,737,632,581,643,666,662,780,925,833
 Georgia,764,820,875,"1,035","1,338","1,683","2,052","2,700","3,420","2,891"
